employee_id,age,income,hours_worked,education,department,commute_distance,remote_work,satisfaction_score,project_count,hire_date,employee_status
5571,32.00818228,6208.293542,15.31987147,High School,Marketing,10.49114427,0,4,7,12/13/2022,0
4742,-38.21678541,79984.9379,67.78943732,high school,IT,23.61944316,0,3,5,2/5/2021,1
6438,110.1564003,,27.21282919,High School,Sales,40.85965222,0,5,6,8/7/2021,0
6723,28.96161703,13261.95653,57.61856288,H.S.,Sales,-1.087843025,0,9,5,11/19/2023,0
9987,,,27.94920676,masters,Sales,7.713178587,0,9,6,8/6/2019,0
7522,106.3158543,6093.825069,-10.17029967,BACHELOR,IT,51.14906633,0,10,6,2/12/2019,0
4149,26.03357773,14075.41583,25.16223928,Bachelor,IT,14.14828784,0,5,7,3/27/2020,1
3876,25.63493625,9392.495718,65.99282665,High School,Marketing,7.768369952,1,9,6,10/11/2020,1
6914,-32.65075728,43679.09959,20.58054303,Master,Sales,2.935500865,1,6,10,6/19/2018,1
8744,38.85710841,,54.51827711,M.S.,R&D,2.12525504,0,9,4,2/10/2021,0
6700,34.74505871,8584.716981,32.25858612,phd,IT,-18.08882507,1,7,1,5/16/2021,1
5689,30.17090161,10646.71856,78.12281682,H.S.,IT,20.28797316,0,2,9,4/12/2018,0
2780,20.93682536,15367.70989,5.059031873,H.S.,IT,9.770284004,2,1,2,3/8/2023,0
9904,300.7616646,,103.2390699,B.S.,R&D,23.64475166,0,4,5,10/20/2022,0
5359,41.8022036,29466.50953,9.970937992,PhD,Finance,20.9345227,0,1,7,3/25/2022,1
8732,,5779.969173,15.65207935,Master,IT,90.15923955,0,1,7,,0
4794,35.07880185,81135.35967,66.52603287,masters,Sales,12.81176204,0,8,2,2/28/2020,0
4370,34.22556539,46542.44785,11.1026145,BACHELOR,Marketing,22.40261042,0,8,3,6/9/2022,1
7013,45.94179548,3427.507151,19.61455858,phd,Sales,2.6657355,1,10,9,,1
6803,53.18898532,14648.61507,37.95089685,H.S.,IT,50.13927202,0,8,2,10/4/2022,1
9778,46.57244548,63339.12169,30.65050015,M.S.,Sales,1.980347311,1,3,4,4/16/2019,0
